pl_name,habitability_score,habitability_class,habitability_prob,rank
TRAPPIST-1 e,0.61563563,1,0.975689,1
Kepler-452 b,0.6117378,1,0.9848381,2
Kepler-1633 b,0.5978718,1,0.9970843,3
TRAPPIST-1 c,0.5910527,1,0.970753,4
Kepler-138 e,0.5834388,1,0.8803323,5
K2-3 d,0.58034015,1,0.9445605,6
Kepler-1638 b,0.5791463,1,0.9967128,7
Kepler-438 b,0.57731426,1,0.9476529,8
Kepler-69 c,0.5741118,1,0.98934454,9
Kepler-1126 c,0.5715761,1,0.9972698,10
Ross 128 b,0.5707339,1,0.92945343,11
Kepler-395 c,0.56419116,1,0.9589246,12
TRAPPIST-1 d,0.5617614,1,0.9754739,13
Kepler-1634 b,0.559848,1,0.985068,14
Teegarden's Star b,0.5574226,1,0.9862975,15
KOI-351 h,0.5571684,1,0.99179476,16
Kepler-1632 b,0.552293,1,0.99877423,17
KOI-1783.02,0.5519037,1,0.9918434,18
Kepler-1533 b,0.5507469,1,0.9909428,19
Kepler-437 b,0.54397064,1,0.9574325,20
Gliese 12 b,0.54174215,1,0.95622534,21
Kepler-296 e,0.53595275,1,0.9559691,22
Kepler-289 e,0.5349238,1,0.98654383,23
Kepler-1519 b,0.5340634,1,0.9909945,24
TRAPPIST-1 g,0.5329589,1,0.97327065,25
Kepler-1746 b,0.5327837,1,0.9961802,26
Kepler-1981 b,0.53109556,1,0.99046105,27
TRAPPIST-1 f,0.5309613,1,0.96675694,28
Kepler-1040 b,0.5282822,1,0.99515605,29
TRAPPIST-1 b,0.52023995,1,0.97046465,30
PH2 b,0.5201816,1,0.988846,31
KIC 5437945 b,0.51995367,1,0.9904614,32
Proxima Cen d,0.51644886,1,0.961849,33
Wolf 1069 b,0.5125815,1,0.9640927,34
Kepler-315 c,0.51236933,1,0.9928884,35
Kepler-1690 b,0.51221704,1,0.99176556,36
Kepler-1512 b,0.5116411,1,0.92278415,37
HD 191939 g,0.51087755,1,0.9881295,38
Kepler-22 b,0.50960666,1,0.9869054,39
Kepler-1549 b,0.50829256,1,0.9726556,40
TOI-700 d,0.50635004,1,0.84827447,41
TOI-700 e,0.5057983,1,0.83465594,42
Kepler-1090 b,0.50425404,1,0.98452306,43
Kepler-511 b,0.5038072,1,0.9854043,44
LP 791-18 d,0.50365555,1,0.9816372,45
Kepler-62 f,0.5017759,1,0.9851312,46
Kepler-1550 b,0.5015232,1,0.99164456,47
Proxima Cen b,0.5014563,1,0.9630842,48
Kepler-1625 b,0.5001872,1,0.98548466,49
Kepler-1750 b,0.49977732,1,0.988618,50
Kepler-1652 b,0.49849254,1,0.96829915,51
Kepler-1554 b,0.49831712,1,0.9834362,52
Kepler-1649 c,0.4978042,1,0.97882414,53
Kepler-186 e,0.49763784,1,0.968345,54
GJ 1132 c,0.49396858,0,0.25807026,55
Kepler-439 b,0.49378127,1,0.98400223,56
Kepler-1450 b,0.49246708,1,0.92985386,57
Kepler-1606 b,0.49221882,1,0.9802735,58
Kepler-138 d,0.49193704,1,0.96378595,59
Kepler-1636 b,0.49164155,1,0.9842955,60
Kepler-62 e,0.4902492,1,0.9856968,61
TOI-6002 b,0.48913395,1,0.9340485,62
Kepler-553 c,0.48851836,1,0.9736742,63
Kepler-442 b,0.48824432,1,0.98667717,64
Kepler-849 b,0.48653746,1,0.99402595,65
Kepler-1881 b,0.48581088,1,0.9769507,66
Kepler-1701 b,0.48558372,1,0.98035735,67
GJ 1002 b,0.4853225,1,0.96914184,68
