pl_name,predicted_habitability_score,rank
xi Aql b,1,1
11 Com b,1,2
11 Com b,1,3
xi Aql b,1,4
11 UMi b,1,5
11 UMi b,1,6
tau Gem b,1,7
tau Cet f,1,8
tau Cet e,1,9
2MASS J01033563-5515561 AB b,1,10
24 Sex b,1,11
17 Sco b,1,12
16 Cyg B b,1,13
rho CrB c,1,14
rho CrB c,1,15
rho CrB c,1,16
pi Men d,1,17
omi CrB b,1,18
omi CrB b,1,19
ome Ser b,1,20
ome Ser b,1,21
nu Oph b,1,22
nu Oph b,1,23
nu Oph b,1,24
30 Ari B b,1,25
30 Ari B b,1,26
30 Ari B b,1,27
2MASS J19383260+4603591 b,1,28
2MASS J19383260+4603591 b,1,29
2MASS J12073346-3932539 b,1,30
2MASS J04414489+2301513 b,1,31
2MASS J0249-0557 c,1,32
nu Oct A b,1,33
nu Oct A b,1,34
nu Oct A b,1,35
mu Leo b,1,36
iot Dra b,1,37
iot Dra b,1,38
iot Dra b,1,39
iot Dra b,1,40
gam1 Leo b,1,41
gam Psc b,1,42
gam Lib b,1,43
gam Lib b,1,44
4 UMa b,1,45
4 UMa b,1,46
eps Tau b,1,47
eps CrB b,1,48
bet UMi b,1,49
bet Cnc b,1,50
alf Tau b,1,51
alf Ari b,1,52
YZ Cet d,1,53
YZ Cet d,1,54
YZ Cet d,1,55
YZ Cet c,1,56
YZ Cet c,1,57
YZ Cet c,1,58
YZ Cet b,1,59
YZ Cet b,1,60
YZ Cet b,1,61
XO-2 S c,1,62
Wolf 503 b,1,63
Wolf 327 b,1,64
Wolf 327 b,1,65
Wolf 1069 b,1,66
Wolf 1061 d,1,67
Wolf 1061 c,1,68
Wolf 1061 b,1,69
WTS-2 b,1,70
WD 1856+534 b,1,71
WASP-77 A b,1,72
WASP-6 b,1,73
WASP-55 b,1,74
WASP-47 e,1,75
WASP-47 e,1,76
WASP-47 c,1,77
WASP-47 c,1,78
WASP-47 c,1,79
WASP-47 c,1,80
WASP-47 c,1,81
WASP-47 c,1,82
WASP-47 c,1,83
WASP-43 b,1,84
WASP-43 b,1,85
WASP-43 b,1,86
WASP-43 b,1,87
WASP-43 b,1,88
WASP-41 c,1,89
WASP-29 b,1,90
WASP-25 b,1,91
WASP-18 b,1,92
WASP-173 A b,1,93
WASP-149 b,1,94
WASP-110 b,1,95
WASP-102 b,1,96
