pl_name,pl_orbper,pl_rade,st_teff,st_rad,st_mass,st_met,sy_dist
WASP-39 b,4.055259,14.235,5400.0,0.895,0.93,0.0,213.982
HAT-P-1 b,4.46543,13.921578,5975.0,1.135,1.133,0.13,158.979
HR 8799 d,37000.0,13.0,5550.0,0.95,1.5,-0.47,41.2441
HD 156279 b,131.05,2.423,5453.0,0.95,0.93,0.14,36.1945
GJ 832 b,3507.0,2.423,5550.0,0.441557,0.437474,0.0,4.96435
GJ 3470 b,3.33714,4.2,3600.0,0.503,0.541,0.0,29.4214
WASP-62 b,4.411953,15.581,6280.0,1.28,1.25,0.0,175.631
GJ 1214 b,1.58040482,2.27,5550.0,0.21,0.157,0.0,14.6427
HD 24040 b,3668.0,2.423,5550.0,0.95,1.18,0.0,46.6224
WASP-17 b,10.99469878,2.423,5550.0,0.95,1.286,-0.02,405.908
WASP-19 b,10.99469878,2.423,5550.0,0.95,0.935,0.15,268.325
WASP-96 b,3.4252602,13.45,5540.0,1.05,1.06,0.14,352.464
HD 168443 c,1749.83,2.423,5491.0,1.51,0.995,0.04,39.6245
HD 12661 c,1679.0,2.423,5655.0,1.21377,1.0,0.3,37.8478
HD 66428 b,1973.0,2.423,5752.0,0.95,1.1,0.31,53.2817
HD 114783 b,496.9,2.423,5084.0,0.839444,0.85,0.12,21.0628
HD 187123 b,3.097,2.423,5830.0,0.95,1.0,0.16,45.9548
HD 12661 b,262.709,2.423,5655.0,1.21377,1.0,0.3,37.8478
HD 168443 b,58.11212,2.423,5551.0,1.67935,0.98,0.06,39.6245
HD 217107 b,7.126816,2.423,5575.0,1.19931,0.98,0.28,20.0619
HAT-P-11 b,4.8878162,4.73,4780.0,0.75,0.81,0.31,37.7647
HD 217107 c,3352.0,2.423,5646.0,0.95,1.02,0.37,20.0619
HD 68988 b,6.276,2.423,5550.0,0.95,1.2,0.24,60.8447
HD 183263 b,634.23,2.423,5936.0,0.95,1.17,0.3,54.1955
HD 17156 b,21.2,2.423,6079.0,1.47,1.2,0.24,78.0863
HD 72659 b,2185.0,2.423,5550.0,0.95,0.95,-0.14,51.8949
51 Eri b,10.99469878,2.423,5550.0,0.95,1.75,-0.027,29.7575
WASP-43 b,0.81347436,2.423,4124.0,0.757649,0.65,0.0,86.7467
HR 8799 b,170000.0,13.0,5550.0,0.95,1.5,-0.47,41.2441
HR 8799 c,10.99469878,11.209,7204.58,1.49338,1.61,0.0,41.2441
HR 8799 e,10.99469878,10.0881,7204.58,1.49338,1.61,0.0,41.2441
K2-25 b,3.484552,3.43,3180.0,0.295,0.294,0.15,44.9565
HD 11506 b,1627.5,2.423,6055.0,1.33,1.24,0.29,51.261
HD 11506 c,223.6,2.423,6055.0,1.33,1.24,0.29,51.261
HD 183263 c,4684.0,2.423,5867.0,1.29106,1.06,0.27,54.1955
HD 187123 c,3324.0,2.423,5790.0,1.15043,1.04,0.09,45.9548
HD 27894 c,36.07,2.423,5550.0,0.95,0.8,0.3,43.8214
HD 27894 d,5174.0,2.423,5550.0,0.95,0.8,0.3,43.8214
HD 3167 b,0.959628,1.8,5550.0,0.88,0.945,0.0,47.2899
HD 3167 c,29.839835,3.0,5550.0,0.88,0.945,0.0,47.2899
HAT-P-11 c,3407.0,2.423,4780.0,0.683,0.809,0.31,37.7647
KELT-7 b,2.73477,17.9344,6768.0,1.81,1.76,0.0,136.681
HD 27894 b,17.9904,2.423,5550.0,0.95,0.945,0.0,43.8214
WASP-103 b,10.99469878,18.450014,5550.0,1.413,1.205,0.0,375.647
HD 3167 d,8.509,2.423,5261.0,0.86,0.86,0.04,47.2899
HD 114783 c,4319.0,2.423,5550.0,0.95,0.853,0.0,21.0628
HD 181234 b,7462.0575,2.423,5386.0,1.05,1.01,0.32,47.7458
HD 221420 b,22482.0,2.423,5830.0,0.95,1.67,0.29,31.1415
HD 63433 c,20.54381533218,2.57342831,5694.11,0.902932,0.945,0.0,22.4035
NGTS-10 b,0.7668944,13.506845,4600.0,0.697,0.696,-0.02,384.938
HIP 67522 b,6.959503,10.07,5675.0,1.38,1.22,0.0,127.28
TOI-283 b,17.6174652,2.01411,5250.0,0.81,0.945,0.0,82.7013
HD 11506 d,14723.57452,2.423,5550.0,0.95,1.12,0.0,51.261
HD 156279 c,4818.25358,2.423,5550.0,0.95,0.94,0.0,36.1945
COCONUTS-2 b,402000000.0,12.44196858,3406.0,0.388,0.37,0.0,10.8864
HD 63433 b,7.10793,2.15,5640.0,0.912,0.99,0.0,22.4035
TOI-269 b,3.69771670923,2.94204396,3607.0,0.397924,0.945,0.0,57.0225
HD 24040 c,515.4,2.423,5776.49,1.387296,1.10394,0.1971,46.6224
HD 68988 c,16000.0,2.423,5883.41,1.255733,1.171665,0.3052,60.8447
HD 62364 b,27399.80247,2.423,5550.0,0.95,1.19,0.0,53.112
HD 62364 c,74839.94555,2.423,5550.0,0.95,1.19,0.0,53.112
HD 168863 b,14773.93272,2.423,5550.0,0.95,0.8,0.0,39.8979
HD 16905 b,6707.49126,2.423,5550.0,0.95,0.79,0.0,39.7401
HD 3167 e,96.63,2.423,5261.0,0.88,0.837,0.04,47.2899
HD 89839 b,3441.0,2.423,6314.0,0.95,1.21,0.04,57.3063
BD-210397 b,1891.0,2.423,4051.0,0.747,0.679,0.12,23.7324
HD 108202 b,2990.0,2.423,5550.0,0.95,0.74,0.0,38.6846
BD-210397 c,6240.0,2.423,5550.0,0.95,0.69,0.0,23.7324
HIP 70849 b,3649.0,2.423,5550.0,0.95,0.65,0.0,24.0572
TOI-4201 b,3.5819194,13.67495645,3794.0,0.63,0.61,0.52,189.011
HD 29985 b,20608.14049,2.423,5550.0,0.95,0.75,0.0,31.2707
Kepler-293 b,19.25405306,2.89,5547.0,0.92,0.94,0.04,974.633
K2-222 b,15.38857,2.35,5942.0,1.115,0.989,-0.315,101.321
Kepler-549 d,24.61482073,3.65,5467.0,0.856,0.839,-0.14,635.145
Kepler-395 b,7.05427318,0.78,3735.0,0.4,0.413,-0.5,421.382
Kepler-172 d,10.99469878,2.726,5613.0,1.063,0.945,0.0,828.592
Kepler-109 c,21.2226460262,2.423,5953.0,1.40104,1.09,-0.02,474.861
Kepler-549 b,42.94957774,2.423,5259.0,0.846751,0.9,0.0,635.145
Kepler-1515 b,214.3114164,9.33,6517.0,1.375,1.203,-0.16,539.321
Kepler-359 c,57.6895695163,2.423,5683.0,0.923027,1.01,0.0,1443.21
Kepler-1834 b,4.602996,1.288,4835.0,0.719,0.746,-0.07,500.395
Kepler-1162 b,10.99469878,1.94,5226.0,0.813,0.945,0.0,940.211
Kepler-703 b,4.5835184,5.4,5796.0,0.87,0.98,0.0,1156.83
WASP-190 b,5.367753,2.423,6400.0,1.6,1.35,-0.02,542.251
TOI-5126 b,5.4589863,4.40571,6223.0,1.24,0.945,0.0,160.414
Kepler-1471 b,3.63899398,1.32,5881.0,0.848,0.794,-0.66,978.678
WASP-22 b,3.53273064,13.439591,6153.0,1.255,1.249,0.26,317.652
Kepler-725 b,39.6431552,2.423,5293.0,0.829332,0.91,0.0,758.469
Kepler-1644 b,21.0907758,1.8,5722.0,0.821,0.856,-0.36,629.27
Kepler-50 b,7.8128584,1.56,6280.0,1.59,1.28,0.01,250.11
Kepler-325 d,38.7149617,2.62,5445.0,0.937,0.919,0.16,823.242
Kepler-1296 b,8.38395796,2.423,5338.3,2.04609,0.92,0.0188,1551.54
Kepler-1371 b,3.4462125,2.423,5378.93,0.916461,0.93,-0.0103,515.334
HATS-4 b,2.5167278,2.423,5403.0,0.925,1.001,0.43,416.459
K2-5 b,5.7348462,2.4,4088.0,0.62,0.945,0.0,202.943
KOI-1257 b,86.647661,10.54,5520.0,1.13,0.99,0.27,384.938
Kepler-82 e,5.902209,2.3,5700.0,0.9,0.922,0.0,904.326
TOI-257 b,18.38770808538,6.37909616,6382.7,1.76557,0.945,0.0,76.9028
Kepler-1369 b,25.87333,2.9,5987.0,1.07,1.0,0.0,1236.56
Kepler-697 b,3.709870645,3.96,5576.0,0.852,0.953,0.02,1277.33
Kepler-1466 b,31.1750448,1.38,6086.0,0.921,1.003,-0.26,631.949
WASP-47 b,4.159221,12.3,5950.0,1.1,1.003,0.0,264.78
Kepler-634 b,5.16950177,1.89,6075.0,1.24,1.03,-0.18,888.027
Kepler-1889 b,37.3037619,2.59,5641.0,0.817,0.853,-0.3,1395.13
Kepler-718 b,2.052349905,13.38,6015.0,1.051,1.143,0.21,1302.33
Kepler-1668 b,15.43400996,4.3,5900.0,0.951,1.065,0.07,1335.64
Kepler-289 b,34.5439452,2.67,5933.0,1.115,0.998,-0.06,704.438
Kepler-46 d,6.76652928,2.423,5071.0,0.83867,0.85,0.0,777.06
Kepler-1772 b,3.215106337,2.69,5779.0,2.142,1.098,-0.32,871.564
Kepler-511 c,26.62946276,3.68,5837.0,1.698,0.952,-0.35,651.999
Kepler-684 b,6.770302008,3.36,5493.0,0.86,0.89,-0.11,1731.27
Kepler-127 b,14.4360263586,2.423,6066.19,1.4457,1.13,0.2142,352.794
Kepler-393 b,9.182417,1.29,6189.0,1.382,0.945,0.0,881.404
Kepler-447 b,7.7942995,6.2,5600.0,0.94,0.875,0.0,268.041
