planet_name,host_star,sy_snum,sy_pnum,discovery_method,discovery_year,disc_facility,pl_controv_flag,orbital_period_days,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,orbit_distance_au,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,planet_radius_earth,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,planet_mass_earth,pl_bmasselim,pl_bmassj,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenlim,pl_insol,pl_insollim,planet_temperature_k,pl_eqtlim,ttv_flag,star_temperature_k,st_tefferr1,st_tefferr2,st_tefflim,star_radius_solar,st_raderr1,st_raderr2,st_radlim,star_mass_solar,st_masserr1,st_masserr2,st_masslim,star_metallicity,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,distance_pc,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,0,323.21,0.06,-0.05,0.0,1.178,0.0,0.0,0.0,12.2,0.5204222055080471,-0.41654905667787656,0.0,1.09,0.04643288487148691,-0.037166464244535194,0.0,4914.89848585,0.0,15.464,0.0,Msini,0.238,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,4874.0,98.58479009687836,-99.35817366343738,0.0,13.76,2.85,-2.45,0.0,2.09,0.64,-0.63,0.0,-0.26,0.1,-0.1,0.0,[Fe/H],2.45,0.08,-0.08,0.0,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,1.9238,-1.9238,4.72307,0.023,-0.023,2.282,0.346,-0.346,4.44038,0.0038479,-0.0038479
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,516.21997,3.2,-3.2,0.0,1.53,0.07,-0.07,0.0,12.3,0.5204222055080471,-0.41654905667787656,0.0,1.09,0.04643288487148691,-0.037166464244535194,0.0,4684.8142,0.0,14.74,0.0,Msini,0.08,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,4213.0,46.0,-46.0,0.0,29.79,2.84,-2.84,0.0,2.78,0.69,-0.69,0.0,-0.02,0.09720361307589372,-0.10304054674058499,0.0,[Fe/H],1.93,0.07,-0.07,0.0,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321,1.9765,-1.9765,5.013,0.005,-0.005,1.939,0.27,-0.27,4.56216,0.0039035,-0.0039035
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,186.76,0.11,-0.12,0.0,0.775,0.0,0.0,0.0,13.1,0.5204222055080471,-0.41654905667787656,0.0,1.16,0.04643288487148691,-0.037166464244535194,0.0,1131.15130051,0.0,3.559,0.0,Msini,0.0,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,4888.0,98.58479009687836,-99.35817366343738,0.0,11.55,1.12,-0.51,0.0,1.78,0.43,-0.29,0.0,-0.21,0.1,-0.1,0.0,[Fe/H],2.55,0.06,-0.07,0.0,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,0.714,-0.714,5.23133,0.023,-0.023,2.331,0.24,-0.24,4.91781,0.0028262,-0.0028262
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1765.0389,1.67709,-1.87256,0.0,2.774,0.109,-0.12,0.0,12.6,0.5204222055080471,-0.41654905667787656,0.0,1.12,0.04643288487148691,-0.037166464244535194,0.0,2559.47216157,0.0,8.053,0.0,Mass,0.373,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,5338.0,25.0,-25.0,0.0,0.93,0.01,-0.01,0.0,0.91,0.113,-0.113,0.0,0.4052,0.0466,-0.0466,0.0,[Fe/H],4.45,0.02,-0.02,0.0,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,0.0073,-0.0073,6.61935,0.023,-0.023,4.714,0.016,-0.016,6.383,0.0003512,-0.0003512
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,0,798.5,1.0,-1.0,0.0,1.66,0.03,-0.03,0.0,13.5,0.5204222055080471,-0.41654905667787656,0.0,1.2,0.04643288487148691,-0.037166464244535194,0.0,565.7374,0.0,1.78,0.0,Msini,0.68,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,5750.0,8.0,-8.0,0.0,1.13,0.01,-0.01,0.0,1.08,0.04,-0.04,0.0,0.06,0.09720361307589372,-0.10304054674058499,0.0,[Fe/H],4.36,0.01,-0.01,0.0,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,0.011,-0.0111,6.215,0.016,-0.016,4.651,0.016,-0.016,6.06428,0.0006029,-0.0006029
17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,0,578.38,2.01,-2.09,0.0,1.45,0.02,-0.02,0.0,12.9,0.5204222055080471,-0.41654905667787656,0.0,1.15,0.04643288487148691,-0.037166464244535194,0.0,1373.01871824,0.0,4.32,0.0,Msini,0.06,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,4157.0,11.0,-10.0,0.0,25.92,0.78,-0.74,0.0,1.22,0.13,-0.14,0.0,-0.01,0.1,-0.1,0.0,[Fe/H],1.7,0.04,-0.06,0.0,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.953,2.59,-2.59,5.22606,0.023,-0.023,2.094,0.244,-0.244,4.75429,0.005055,-0.005055
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,982.85,1.06,-0.92,0.0,2.476,0.002,-0.002,0.0,12.5,0.5204222055080471,-0.41654905667787656,0.0,1.12,0.04643288487148691,-0.037166464244535194,0.0,2926.24614325,0.0,9.207,0.0,Msini,0.024,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,4980.0,98.58479009687836,-99.35817366343738,0.0,8.8,0.61,-0.4,0.0,2.1,0.13,-0.09,0.0,-0.06,0.1,-0.1,0.0,[Fe/H],2.87,0.03,-0.05,0.0,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222,0.6217,-0.6217,5.51048,0.023,-0.023,3.366,0.204,-0.204,5.27476,0.0026539,-0.0026539
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,0,74592.99517589886,91246.8042170947,-20841.320421022418,-0.0010458427749694963,330.0,1.8324682158137156,-0.9681148506008933,0.0,18.647,0.5204222055080471,-0.41654905667787656,0.0,1.664,0.04643288487148691,-0.037166464244535194,0.0,3000.0,0.0,8.0,0.0,Mass,0.07864707016863733,0.05175421593332041,423.09774895269476,0.0,1700.0,0.0,0,4060.0,300.0,-200.0,0.0,1.31316,0.176833,-0.102363,0.0,0.85,0.2,-0.1,0.0,0.01522439775403007,0.09720361307589372,-0.10304054674058499,0.0,,3.99592,0.142675,-0.100725,0.0,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.135,1.332,-1.307,12.618,0.069,-0.069,8.916,0.021,-0.021,12.0572,0.002275,-0.002275
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,0,30.33,0.0,-0.01,0.0,0.194,0.0,0.0,0.0,13.9,0.5204222055080471,-0.41654905667787656,0.0,1.24,0.04643288487148691,-0.037166464244535194,0.0,280.64248338,0.0,0.883,0.0,Msini,0.032,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,4816.0,98.58479009687836,-99.35817366343738,0.0,12.19,1.45,-1.28,0.0,1.05,0.27,-0.18,0.0,-0.78,0.1,-0.1,0.0,[Fe/H],2.28,0.09,-0.07,0.0,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863,0.63685,-0.63685,5.59,0.001,-0.001,3.159,0.28,-0.28,5.3339,0.0019998,-0.0019998
24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,452.8,2.1,-4.5,0.0,1.333,0.004,-0.009,0.0,13.4,0.5204222055080471,-0.41654905667787656,0.0,1.19,0.04643288487148691,-0.037166464244535194,0.0,632.46,0.0,1.99,0.0,Msini,0.09,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,[Fe/H],3.5,0.1,-0.1,0.0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976
